CTNNB1	APC2
CTNNB1	NR4A1
CTNNB1	HIST1H3A
CTNNB1	RARA
CTNNB1	DVL3
CTNNB1	PTPRB
CTNNB1	FHL2
CTNNB1	CTNND2
CTNNB1	BCL9
CTNNB1	HDAC7
CTNNB1	PTK6
CTNNB1	VRK3
CTNNB1	PKP4
CTNNB1	GOPC
CTNNB1	PITX2
CTNNB1	MAPK12
CTNNB1	SMURF2
CTNNB1	CDH5
CTNNB1	RABAC1
CTNNB1	IQGAP1
CTNNB1	AXIN2
CTNNB1	PTH1R
CTNNB1	FER
CTNNB1	ANAPC1
CTNNB1	VRK1
CTNNB1	TAX1BP3
CTNNB1	SOX3
CTNNB1	VRK2
CTNNB1	CSNK1A1L
CTNNB1	GRIP1
CTNNB1	PTPN14
CTNNB1	CDH15
CTNNB1	AMER1
CTNNB1	JUP
CTNNB1	ACP1
CTNNB1	FHIT
CTNNB1	CSNK1G2
CTNNB1	PTPRJ
CTNNB1	PYGO1
CTNNB1	CDH3
CTNNB1	TTBK2
CTNNB1	SPN
CTNNB1	FERMT2
CTNNB1	PTPRU
CTNNB1	PTPRK
CTNNB1	PTPN23
CTNNB1	LRRC7
CTNNB1	PROP1
CTNNB1	TCF7L1
CTNNB1	NEURL2
CTNNB1	MLLT10
CTNNB1	CTNNA3
CTNNB1	SALL1
CTNNB1	BCL9L
CTNNB1	LZTS2
CTNNB1	KCTD1
CTNNB1	SOX1
CTNNB1	KANK1
CTNNB1	AJAP1
CTNNB1	PTPRG
CTNNB1	CSNK1G3
CTNNB1	CDH8
PSMA7	PSMA4
PSMA7	PSMA6
PSMA7	PSMB4
PSMA7	PSMA2
PSMA7	PLK1
PSMA7	HIF1A
PSMA7	PSMD4
PSMA7	ABL2
PSMA7	ABL1
PSMA7	ISG15
PSMA7	MAVS
PSMA7	PSMC3
PSMA7	PPP3R1
PSMA7	PSMC5
PSMA7	PSMD7
PSMA7	UCHL5
PSMA7	PSMA3
PSMA7	PSMC2
PSMA7	PSMB5
PSMA7	PSMC1
PSMA7	PSMD1
PSMA7	PSMD3
PSMA7	PSMA5
PSMA7	PSMD12
PSMA7	PSMD13
PSMA7	PSMC6
PSMA7	PSMD2
PSMA7	PSMD11
PSMA7	PSMB3
PSMA7	PSMB10
PSMA7	PSMD5
PSMA7	PSMB9
PSMA7	PSMC4
PSMA7	PSMB7
PSMA7	PSMB6
PSMA7	PSMB8
PSMA7	PSMD8
PSMA7	PSMA1
PSMA7	PSMD6
PSMA7	PSMB1
PSMA7	PSMB2
PSMA7	PSMD14
PSMA7	PSME2
PSMA7	PSME1
PSMA7	PSMF1
PSMA7	POMP
CDKN1B	COPS5
CDKN1B	SKP2
CDKN1B	CDK2
CDKN1B	CDKN1A
CDKN1B	CKS1B
CDKN1B	CCND1
CDKN1B	SKP1
CDKN1B	MYC
CDKN1B	CDC34
CDKN1B	YES1
CDKN1B	LYN
CDKN1B	SRC
CDKN1B	CAMK2A
CDKN1B	MAPK3
CDKN1B	YWHAG
CDKN1B	YWHAE
CDKN1B	CSNK2A1
CDKN1B	SFN
CDKN1B	TAF1
CDKN1B	UBB
CDKN1B	STMN1
CDKN1B	AKT1
CDKN1B	STAT1
CDKN1B	RNF123
CDKN1B	CDK4
CDKN1B	YWHAH
CDKN1B	RHOA
CDKN1B	RPS6KA2
CDKN1B	YWHAQ
CDKN1B	TSC2
CDKN1B	FOXO3
CDKN1B	TSC1
CDKN1B	YWHAB
CDKN1B	ABL1
CDKN1B	MAPK1
CDKN1B	CDK1
CDKN1B	AKT2
CDKN1B	GRB2
CDKN1B	CDK5
CDKN1B	XPO1
CDKN1B	CASP8
CDKN1B	RPS6KA3
CDKN1B	PRKAA1
CDKN1B	CDK6
CDKN1B	UHMK1
CDKN1B	CDK3
CDKN1B	KAT2B
CDKN1B	SGK1
CDKN1B	PIN1
CDKN1B	PDK1
CDKN1B	COP1
CDKN1B	JAG1
CDKN1B	RPS6KA1
CDKN1B	CCND2
CDKN1B	PIM1
CDKN1B	RPS6KA5
CDKN1B	RCHY1
CDKN1B	RPS6KA4
CDKN1B	RPS6KA6
CDKN1B	HIPK2
CDKN1B	CUL4A
CDKN1B	CCNE1
CDKN1B	KMT2A
CDKN1B	CCNA1
CDKN1B	CCNA2
CDKN1B	IRF1
CDKN1B	CCND3
CDKN1B	CDC14A
CDKN1B	NUP50
CDKN1B	CCNE2
APC	NFKBIA
APC	CDK2
APC	BTRC
APC	CDK9
APC	FBXW11
APC	PRKACA
APC	PRKX
APC	MAPRE1
APC	TTBK1
APC	CSNK2A1
APC	DLG3
APC	DLG4
APC	GSK3B
APC	PPP2CA
APC	DVL2
APC	PTK2
APC	ERBIN
APC	CSNK1G1
APC	TP53
APC	ASAP1
APC	CUL2
APC	CSNK1D
APC	XPO1
APC	CTNNA1
APC	CSNK1A1
APC	CSNK1E
APC	LEF1
APC	AXIN1
APC	PPP2R5A
APC	CTBP1
APC	MUC1
APC	DVL1
APC	VRK3
APC	IQGAP1
APC	AXIN2
APC	VRK1
APC	VRK2
APC	AMER1
APC	JUP
APC	CSNK1G2
APC	TTBK2
APC	POLB
APC	ARHGEF4
APC	DDB1
APC	CUL5
APC	KIFAP3
APC	KRT1
APC	CUL4A
APC	RANBP2
APC	FEN1
APC	BUB1
APC	PPP1R13B
APC	CDC14B
APC	CUL4B
APC	CUL3
APC	NAE1
APC	MAPRE2
APC	MACF1
APC	AMER2
APC	RP1
NEDD8	COPS6
NEDD8	RBX1
NEDD8	COPS5
NEDD8	UBE2M
NEDD8	SKP2
NEDD8	BTRC
NEDD8	COPS2
NEDD8	SKP1
NEDD8	COPS8
NEDD8	COPS7A
NEDD8	GPS1
NEDD8	COPS3
NEDD8	FBXW11
NEDD8	COPS4
NEDD8	UBC
NEDD8	USP21
NEDD8	PTK2
NEDD8	TP53
NEDD8	CUL2
NEDD8	NUB1
NEDD8	AHR
NEDD8	UBE2D2
NEDD8	CUL4A
NEDD8	CUL4B
NEDD8	UBA2
NEDD8	UBA3
NEDD8	COPS7B
NEDD8	SENP8
E2F1	SKP2
E2F1	CDK2
E2F1	PTTG1
E2F1	CDKN1A
E2F1	CHEK1
E2F1	MDM2
E2F1	MYC
E2F1	MAPK3
E2F1	GSK3B
E2F1	ATM
E2F1	CREBBP
E2F1	EGFR
E2F1	RB1
E2F1	TP73
E2F1	PTEN
E2F1	PARP1
E2F1	RELA
E2F1	XIAP
E2F1	BRCA1
E2F1	TP53
E2F1	CASP3
E2F1	YWHAQ
E2F1	MAP3K5
E2F1	MDM4
E2F1	RBL1
E2F1	CDK1
E2F1	NCOA3
E2F1	SP1
E2F1	EED
E2F1	EP300
E2F1	CDK7
E2F1	ATR
E2F1	CDK8
E2F1	CDK3
E2F1	ULK1
E2F1	TP53INP1
E2F1	FGFR1
E2F1	NFKB1
E2F1	KAT2B
E2F1	TRRAP
E2F1	HDAC1
E2F1	DAPK2
E2F1	EZH2
E2F1	RARA
E2F1	SIRT1
E2F1	CASP7
E2F1	XRCC1
E2F1	PCNA
E2F1	CCNB1
E2F1	RPA2
E2F1	PURA
E2F1	CDC20
E2F1	MAPK11
E2F1	CDKN2A
E2F1	ARID3A
E2F1	TRIM28
E2F1	MAP1LC3A
E2F1	DDB1
E2F1	HDAC3
E2F1	UCHL5
E2F1	BIRC3
E2F1	BIRC2
E2F1	HSPA5
E2F1	APAF1
E2F1	KAT5
E2F1	NRIP1
E2F1	CHEK2
E2F1	CCNE1
E2F1	CCNA1
E2F1	CCNA2
E2F1	HIC1
E2F1	DDB2
E2F1	CDC6
E2F1	DBF4
E2F1	NCOA6
E2F1	PRMT5
E2F1	PHB
E2F1	TBP
E2F1	SETD7
E2F1	MYBL2
E2F1	TP53BP1
E2F1	ATAD2
E2F1	CEBPA
E2F1	PPM1D
E2F1	E2F6
E2F1	RAD51
E2F1	CDCA4
E2F1	XPC
E2F1	CDKN2A
E2F1	MCPH1
E2F1	DTL
E2F1	TOPBP1
E2F1	POLA1
E2F1	CDT1
E2F1	E2F2
E2F1	TFDP1
E2F1	GTF2H1
E2F1	RNF126
E2F1	TFDP2
E2F1	BRD2
E2F1	NPDC1
E2F1	BTG3
TCF3	RBX1
TCF3	SKP2
TCF3	CDK2
TCF3	SKP1
TCF3	MAPK3
TCF3	PLK1
TCF3	MAP3K10
TCF3	ID2
TCF3	MAPKAPK2
TCF3	CREBBP
TCF3	MYOD1
TCF3	MAPK6
TCF3	PSMD4
TCF3	MYOG
TCF3	CDK4
TCF3	MAPK1
TCF3	ELK3
TCF3	MSC
TCF3	MYF5
TCF3	TCF12
TCF3	NOTCH1
TCF3	UBE2I
TCF3	FGFR2
TCF3	MAPK8
TCF3	TAL1
TCF3	MAPK14
TCF3	MAPK7
TCF3	EP300
TCF3	MDFI
TCF3	CSNK1E
TCF3	CDK6
TCF3	MAPK9
TCF3	MAPK10
TCF3	NLK
TCF3	MAPK4
